service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
B.632,0,0,0,0,0,0,0,20221030,20221112
B.634,0,0,0,0,0,0,0,20221113,20230121
B.635,0,0,0,0,0,0,0,20230122,20230527
C.632,0,0,0,0,0,0,0,20221030,20221112
C.634,0,0,0,0,0,0,0,20221113,20230121
C.635,0,0,0,0,0,0,0,20230122,20230527
7.632,0,0,0,0,0,0,0,20221030,20221112
7.634,0,0,0,0,0,0,0,20221113,20230121
7.635,0,0,0,0,0,0,0,20230122,20230527
8.632,0,0,0,0,0,0,0,20221030,20221112
8.634,0,0,0,0,0,0,0,20221113,20230121
8.635,0,0,0,0,0,0,0,20230122,20230527
W.632,0,0,0,0,0,0,0,20221030,20221112
W.634,0,0,0,0,0,0,0,20221113,20230121
W.635,0,0,0,0,0,0,0,20230122,20230527
D.632,0,0,0,0,0,0,0,20221030,20221112
D.634,0,0,0,0,0,0,0,20221113,20230121
D.635,0,0,0,0,0,0,0,20230122,20230527
Q.632,0,0,0,0,0,0,0,20221030,20221112
Q.634,0,0,0,0,0,0,0,20221113,20230121
Q.635,0,0,0,0,0,0,0,20230122,20230527
U.632,0,0,0,0,0,0,0,20221030,20221112
U.634,0,0,0,0,0,0,0,20221113,20230121
U.635,0,0,0,0,0,0,0,20230122,20230527
S.632,0,0,0,0,0,0,0,20221030,20221112
S.634,0,0,0,0,0,0,0,20221113,20230121
S.635,0,0,0,0,0,0,0,20230122,20230527
X.632,0,0,0,0,0,0,0,20221030,20221112
X.634,0,0,0,0,0,0,0,20221113,20230121
X.635,0,0,0,0,0,0,0,20230122,20230527
A.632,0,0,0,0,0,0,0,20221030,20221112
A.634,0,0,0,0,0,0,0,20221113,20230121
A.635,0,0,0,0,0,0,0,20230122,20230527
E.632,0,0,0,0,0,0,0,20221030,20221112
E.634,0,0,0,0,0,0,0,20221113,20230121
E.635,0,0,0,0,0,0,0,20230122,20230527
f.632,0,0,0,0,0,0,0,20221030,20221112
f.634,0,0,0,0,0,0,0,20221113,20230121
f.635,0,0,0,0,0,0,0,20230122,20230527
F.632,0,0,0,0,0,0,0,20221030,20221112
F.634,0,0,0,0,0,0,0,20221113,20230121
F.635,0,0,0,0,0,0,0,20230122,20230527
M.632,0,0,0,0,0,0,0,20221030,20221112
M.634,0,0,0,0,0,0,0,20221113,20230121
M.635,0,0,0,0,0,0,0,20230122,20230527
Y.632,0,0,0,0,0,0,0,20221030,20221112
Y.634,0,0,0,0,0,0,0,20221113,20230121
Y.635,0,0,0,0,0,0,0,20230122,20230527
H.632,0,0,0,0,0,0,0,20221030,20221112
H.634,0,0,0,0,0,0,0,20221113,20230121
H.635,0,0,0,0,0,0,0,20230122,20230527
J.632,0,0,0,0,0,0,0,20221030,20221112
J.634,0,0,0,0,0,0,0,20221113,20230121
J.635,0,0,0,0,0,0,0,20230122,20230527
I.632,0,0,0,0,0,0,0,20221030,20221112
I.634,0,0,0,0,0,0,0,20221113,20230121
I.635,0,0,0,0,0,0,0,20230122,20230527
s.632,0,0,0,0,0,0,0,20221030,20221112
s.634,0,0,0,0,0,0,0,20221113,20230121
s.635,0,0,0,0,0,0,0,20230122,20230527
