service_id,date,exception_type
B.632,20221105,1
B.634,20221126,1
B.634,20221203,1
B.634,20221210,1
B.634,20221217,1
B.634,20221224,1
B.634,20230107,1
B.634,20230114,1
B.634,20230121,1
C.632,20221030,1
C.632,20221106,1
C.634,20221120,1
C.634,20221127,1
C.634,20221204,1
C.634,20221211,1
C.634,20221218,1
C.634,20221225,1
C.634,20230101,1
C.634,20230108,1
C.634,20230115,1
7.632,20221031,1
7.632,20221101,1
7.632,20221102,1
7.632,20221103,1
7.632,20221104,1
7.632,20221107,1
7.632,20221108,1
7.632,20221109,1
7.632,20221110,1
7.634,20221114,1
7.634,20221115,1
7.634,20221116,1
7.634,20221117,1
7.634,20221118,1
7.634,20221128,1
7.634,20221129,1
7.634,20221130,1
7.634,20221201,1
7.634,20221202,1
7.634,20221205,1
7.634,20221206,1
7.634,20221207,1
7.634,20221208,1
7.634,20221209,1
7.634,20221212,1
7.634,20221213,1
7.634,20221214,1
7.634,20221215,1
7.634,20221216,1
7.634,20221219,1
7.634,20221220,1
7.634,20221221,1
7.634,20221222,1
7.634,20221223,1
7.634,20221227,1
7.634,20221228,1
7.634,20221229,1
7.634,20221230,1
7.634,20230103,1
7.634,20230104,1
7.634,20230105,1
7.634,20230106,1
7.634,20230109,1
7.634,20230110,1
7.634,20230111,1
7.634,20230112,1
7.634,20230113,1
7.634,20230117,1
7.634,20230118,1
7.634,20230119,1
7.634,20230120,1
7.635,20230123,1
7.635,20230124,1
7.635,20230125,1
7.635,20230126,1
7.635,20230127,1
7.635,20230130,1
7.635,20230131,1
7.635,20230201,1
7.635,20230202,1
7.635,20230203,1
7.635,20230206,1
7.635,20230207,1
7.635,20230208,1
7.635,20230209,1
7.635,20230210,1
7.635,20230213,1
7.635,20230214,1
7.635,20230215,1
7.635,20230216,1
7.635,20230217,1
7.635,20230220,1
7.635,20230221,1
7.635,20230222,1
7.635,20230223,1
7.635,20230224,1
7.635,20230227,1
7.635,20230228,1
7.635,20230301,1
7.635,20230302,1
7.635,20230303,1
7.635,20230306,1
7.635,20230307,1
7.635,20230308,1
7.635,20230309,1
7.635,20230310,1
7.635,20230313,1
7.635,20230314,1
7.635,20230315,1
7.635,20230316,1
7.635,20230317,1
7.635,20230320,1
7.635,20230321,1
7.635,20230322,1
7.635,20230323,1
7.635,20230324,1
7.635,20230327,1
7.635,20230328,1
7.635,20230329,1
7.635,20230330,1
7.635,20230331,1
7.635,20230403,1
7.635,20230404,1
7.635,20230405,1
7.635,20230406,1
7.635,20230407,1
7.635,20230410,1
7.635,20230411,1
7.635,20230412,1
7.635,20230413,1
7.635,20230414,1
7.635,20230417,1
7.635,20230418,1
7.635,20230419,1
7.635,20230420,1
7.635,20230421,1
7.635,20230424,1
7.635,20230425,1
7.635,20230426,1
7.635,20230427,1
7.635,20230428,1
7.635,20230501,1
7.635,20230502,1
7.635,20230503,1
7.635,20230504,1
7.635,20230505,1
7.635,20230508,1
7.635,20230509,1
7.635,20230510,1
7.635,20230511,1
7.635,20230512,1
7.635,20230515,1
7.635,20230516,1
7.635,20230517,1
7.635,20230518,1
7.635,20230519,1
7.635,20230522,1
7.635,20230523,1
7.635,20230524,1
7.635,20230525,1
7.635,20230526,1
8.632,20221105,1
8.632,20221112,1
8.634,20221203,1
8.634,20221210,1
8.634,20221217,1
8.634,20221231,1
8.634,20230107,1
8.634,20230114,1
8.634,20230121,1
8.635,20230128,1
8.635,20230204,1
8.635,20230211,1
8.635,20230218,1
8.635,20230225,1
8.635,20230304,1
8.635,20230311,1
8.635,20230318,1
8.635,20230325,1
8.635,20230401,1
8.635,20230408,1
8.635,20230415,1
8.635,20230422,1
8.635,20230429,1
8.635,20230506,1
8.635,20230513,1
8.635,20230520,1
8.635,20230527,1
W.632,20221031,1
W.632,20221101,1
W.632,20221102,1
W.632,20221103,1
W.632,20221104,1
W.632,20221107,1
W.632,20221108,1
W.632,20221109,1
W.632,20221110,1
W.632,20221111,1
W.634,20221114,1
W.634,20221115,1
W.634,20221116,1
W.634,20221117,1
W.634,20221118,1
W.634,20221121,1
W.634,20221122,1
W.634,20221123,1
W.634,20221128,1
W.634,20221129,1
W.634,20221130,1
W.634,20221201,1
W.634,20221202,1
W.634,20221205,1
W.634,20221206,1
W.634,20221207,1
W.634,20221208,1
W.634,20221209,1
W.634,20221212,1
W.634,20221213,1
W.634,20221214,1
W.634,20221215,1
W.634,20221216,1
W.634,20221219,1
W.634,20221220,1
W.634,20221221,1
W.634,20221222,1
W.634,20221223,1
W.634,20221227,1
W.634,20221228,1
W.634,20221229,1
W.634,20221230,1
W.634,20230103,1
W.634,20230104,1
W.634,20230105,1
W.634,20230106,1
W.634,20230109,1
W.634,20230110,1
W.634,20230111,1
W.634,20230112,1
W.634,20230113,1
W.634,20230117,1
W.634,20230118,1
W.634,20230119,1
W.634,20230120,1
W.635,20230123,1
W.635,20230124,1
W.635,20230125,1
W.635,20230126,1
W.635,20230127,1
W.635,20230130,1
W.635,20230131,1
W.635,20230201,1
W.635,20230202,1
W.635,20230203,1
W.635,20230206,1
W.635,20230207,1
W.635,20230208,1
W.635,20230209,1
W.635,20230210,1
W.635,20230213,1
